symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
600160,15.522693901716993,14.958069863824749,0.5646240378922439,41.95,3.4399999999999977,0.41999195505564557,35.68000000000001,34.230000000000004,1689
000625,13.847939964685107,13.28397881106533,0.5639611536197764,28.38,3.5700000000000003,0.452247829985927,22.009999999999998,20.12,1699
FAST,28.14592866914582,27.583243705645486,0.5626849635003326,50.091035433867575,3.2125182246449526,0.31240357245682543,37.21140774452634,38.01607362455275,1507
300383,14.989976456739258,14.42875809299588,0.5612183637433784,31.5,3.8000000000000007,0.42345796001558395,23.9,23.61,1699
002245,12.119309734513275,11.55875516224189,0.5605545722713865,33.7,3.820000000000004,0.51815344858874,30.190000000000005,28.34,1695
KDP,30.662503027389963,30.104909760888816,0.5575932665011502,37.58933045941622,4.093640119977973,0.304419598788611,20.18704086401778,19.996385288126703,1507
000887,13.923172454384932,13.370376692171867,0.5527957622130666,26.68,2.6800000000000033,0.3933396498235345,19.13,18.189999999999998,1699
601233,15.672177751618598,15.120523837551499,0.5516539140670983,31.0,3.1700000000000017,0.3849262883973951,21.29,18.79,1699
CAG,26.589532797128264,26.043828494942094,0.5457043021861702,34.695790309488636,4.5598644309400385,0.31053629307744524,17.946249980509144,17.652478514193053,1507
002436,11.870070629782225,11.325050029429075,0.5450206003531489,25.09,2.75,0.3433886411135121,20.95,19.46,1699
600938,23.018665183537262,22.473915461624024,0.5447497219132369,35.62,3.0600000000000023,0.3537377388142739,21.349999999999998,21.75,899
GEN,22.376911097903015,21.833039046385444,0.5438720515175732,31.941776954120076,3.6022778237250073,0.306763853075409,18.742327208044507,18.604235002688952,1507
000066,13.107457327839906,12.5648793407887,0.5425779870512065,24.49,3.4299999999999997,0.3658504636487972,19.709999999999997,16.7,1699
CNP,26.62434649240823,26.08804218583111,0.5363043065771145,40.27505604329237,3.7729185290718767,0.2711368337376388,29.325855961837288,29.937743629382915,1507
600487,15.835764218009478,15.30359597156398,0.5321682464454977,27.08,2.8599999999999994,0.339411485555891,17.11,16.89,1688
300144,15.692213066509712,15.162012948793409,0.5302001177163037,33.47,3.020000000000003,0.36627351419973564,26.33,25.47,1699
NI,27.140385355988446,26.61024532734295,0.530140028645497,44.581725329373505,3.660899140779989,0.3260514778534874,26.82018753617774,27.578492268370567,1507
000933,12.97238602723505,12.443096506808763,0.5292895204262877,28.2,3.7300000000000004,0.36382087491753645,24.38,23.23,1689
